Family	Language	IDCC	NoIDCC
Sino-Tibetan	BurmishAtsi	86	3600
Sino-Tibetan	KirantiHayu	152	2614
Sino-Tibetan	MizoLushai	88	2122
Sino-Tibetan	BurmishAchang	100	3252
Sino-Tibetan	NungicDulong	120	3328
Sino-Tibetan	KirantiBahing	146	2268
Sino-Tibetan	NagaUkhrul	526	4594
Sino-Tibetan	KhroskyabsWobzi	78	1664
Sino-Tibetan	DengDarangTaraon	306	5642
Sino-Tibetan	BurmishXiandao	78	2864
Sino-Tibetan	TibetanAlike	56	2636
Sino-Tibetan	KirantiBantawa	83	1561
Sino-Tibetan	Tangut	1558	8676
Sino-Tibetan	rGyalrongMaerkang	302	3330
Sino-Tibetan	KirantiKulung	136	1996
Sino-Tibetan	KirantiLimbu	122	3070
Sino-Tibetan	BurmishMaru	66	1862
Sino-Tibetan	TibetanXiahe	46	3358
Sino-Tibetan	TibetanBatang	114	3686
Sino-Tibetan	JingphoJingpho	152	3416
Sino-Tibetan	ChinHakha	226	2080
Sino-Tibetan	KirantiKhaling	140	1686
Sino-Tibetan	GaroGaro	330	5424
Sino-Tibetan	rGyalrongJaphug	68	1828
Sino-Tibetan	BurmishRangoon	72	3694
Sino-Tibetan	TibetanLhasa	142	4130
Sino-Tibetan	TaniBokar	226	4308
Sino-Tibetan	ChepangChepang	305	8981
Sino-Tibetan	BurmishBola	48	1729
Sino-Tibetan	rGyalrongDaofu	162	3726
Sino-Tibetan	TibetoKinauriRongpo	106	2706
Sino-Tibetan	TibetanOldTibetan	58	1941
Sino-Tibetan	TibetoKinauriByangsi	80	2202
Sino-Tibetan	QiangicZhaba	294	3460
Sino-Tibetan	BurmishOldBurmese	224	7968
Sino-Tibetan	LoloishLisu	1302	18698
Sino-Tibetan	KirantiThulung	290	3742
Sino-Tibetan	Karbi	71	1270
Sino-Tibetan	SiniticOldChinese	218	3856
Indo-European	slov1269	28	1182
Indo-European	alba1267	49	1131
Indo-European	stan1293	22	999
Indo-European	roma1327	42	1240
Indo-European	west2369	63	1162
Indo-European	mode1248	50	1104
Indo-European	bela1254	33	1048
Indo-European	stan1290	44	1180
Indo-European	stan1295	44	972
Indo-European	russ1263	38	999
Indo-European	poli1260	58	1066
Indo-European	ukra1253	37	1045
Indo-European	iris1253	27	1248
Indo-European	lith1251	45	1265
Indo-European	ital1282	87	1169
Indo-European	stan1289	43	1090
Indo-European	stan1288	75	1135
Indo-European	nucl1235	62	1058
Indo-European	hind1269	35	1442
Indo-European	croa1245	74	1209
Indo-European	icel1247	38	1134
Indo-European	lati1261	101	994
Indo-European	norw1258	25	1096
Indo-European	wels1247	49	1124
Indo-European	dani1285	27	1059
Indo-European	dutc1256	33	1150
Indo-European	nort2646	40	1149
Indo-European	nort2641	46	1067
Indo-European	czec1258	31	1099
Indo-European	slov1268	48	1059
Indo-European	swed1254	32	1138
Indo-European	port1283	73	1172
Indo-European	beng1280	47	981
Indo-European	bulg1262	28	1161
Indo-European	latv1249	63	1205
Indo-European	osse1243	142	1105
Indo-European	bret1244	41	994
Turkic	yaku1245	32	1096
Turkic	nort2697	35	1089
Turkic	nucl1301	42	1207
Turkic	tata1255	34	1115
Turkic	kaza1248	39	1273
Turkic	bash1264	37	1080
Turkic	chuv1255	56	1154
Dravidian	mala1464	59	976
Dravidian	nucl1305	17	1003
Dravidian	tami1289	28	991
Dravidian	telu1262	47	974
Uto-Aztecan	Yaqui	164	1218
Uto-Aztecan	Paiute	169	1600
Uto-Aztecan	Nahuatl	146	1152
